"","X","region","population","sex","age","education","income","statusquo","vote"
"114",114,"N",250000,"M",18,"S",15000,-0.71653,"N"
"115",115,"N",250000,"M",69,"P",7500,1.54808,"Y"
"116",116,"N",250000,"M",21,"S",35000,-0.78334,"N"
"117",117,"N",250000,"M",41,"PS",35000,0.25602,"U"
"119",119,"N",250000,"F",28,"PS",75000,1.23773,"A"
"120",120,"N",250000,"F",34,"P",35000,1.43203,"Y"
"121",121,"N",250000,"F",35,"S",35000,-1.29617,"N"
"122",122,"N",250000,"F",50,"S",125000,1.5877,"Y"
"123",123,"N",250000,"M",66,"S",75000,1.25462,"Y"
"124",124,"N",250000,"M",22,"PS",125000,-0.42219,"N"
"125",125,"N",250000,"F",54,"S",75000,-0.12077,"N"
"126",126,"N",250000,"F",22,"PS",35000,-0.27527,"N"
"127",127,"N",250000,"F",70,"P",75000,1.39831,"Y"
"128",128,"N",250000,"M",29,"S",75000,0.09897,"U"
"129",129,"N",250000,"F",50,"P",35000,-1.29617,"N"
"130",130,"N",250000,"M",42,"PS",75000,1.45861,"Y"
"131",131,"N",250000,"M",33,"S",7500,-1.29617,"N"
"132",132,"N",250000,"M",52,"P",35000,-1.03168,"N"
"133",133,"N",250000,"F",55,"S",15000,-1.29617,"N"
"134",134,"N",250000,"F",50,"P",35000,0.6853,"Y"
"135",135,"N",250000,"F",24,"P",7500,-1.2202,"N"
"136",136,"N",250000,"F",26,"PS",35000,-1.29617,"N"
"137",137,"N",250000,"M",23,"PS",35000,-1.01268,"N"
"138",138,"N",250000,"F",55,"S",35000,-0.38049,"N"
"139",139,"N",250000,"F",37,"S",35000,-0.46709,"U"
"140",140,"N",250000,"M",38,"PS",15000,-0.88584,"N"
"141",141,"N",250000,"M",18,"PS",75000,-1.21974,"N"
"142",142,"N",250000,"M",36,"S",35000,-0.40254,"N"
"144",144,"N",250000,"F",36,"S",7500,1.40604,"Y"
"145",145,"N",250000,"F",65,"PS",125000,-0.9981,"N"
"146",146,"N",250000,"F",26,"PS",75000,1.48284,"Y"
"147",147,"N",250000,"F",55,"S",75000,1.44104,"Y"
"148",148,"N",250000,"F",59,"S",35000,1.5877,"Y"
"149",149,"N",250000,"M",18,"S",15000,-0.70887,"A"
"150",150,"N",250000,"M",70,"P",7500,-0.36585,"N"
"151",151,"N",250000,"F",24,"PS",35000,1.27926,"Y"
"152",152,"N",250000,"F",26,"PS",75000,-1.10017,"N"
"153",153,"N",250000,"F",44,"PS",75000,1.44183,"Y"
"154",154,"N",250000,"M",53,"S",15000,-1.29617,"N"
"155",155,"N",250000,"M",35,"PS",125000,-0.72892,"N"
"156",156,"N",250000,"F",26,"PS",125000,1.4162,"Y"
"157",157,"N",250000,"M",37,"P",15000,0.41711,"N"
"158",158,"N",250000,"F",70,"PS",125000,1.44896,"Y"
"159",159,"N",250000,"M",23,"PS",35000,-1.25795,"N"
"160",160,"N",250000,"F",18,"S",35000,1.50986,"Y"
"161",161,"N",87500,"M",41,"PS",35000,-0.47135,"A"
"162",162,"N",87500,"F",30,"P",15000,1.60783,"Y"
"163",163,"N",87500,"F",46,"P",7500,1.51786,"Y"
"164",164,"N",87500,"M",22,"P",15000,-0.51949,"N"
"165",165,"N",87500,"F",26,"S",15000,-0.34236,"A"
"166",166,"N",87500,"F",42,"P",15000,1.54808,"Y"
"167",167,"N",87500,"F",25,"S",15000,1.37129,"Y"
"168",168,"N",87500,"M",42,"P",15000,1.5877,"Y"
"169",169,"N",87500,"M",32,"PS",75000,1.36312,"Y"
"170",170,"N",87500,"F",51,"P",2500,1.59607,"Y"
"171",171,"N",87500,"M",18,"S",15000,-1.10367,"N"
"172",172,"N",87500,"F",44,"PS",35000,-0.71653,"N"
"173",173,"N",87500,"M",40,"S",15000,-1.03937,"N"
"174",174,"N",87500,"F",33,"S",2500,-1.14317,"N"
"175",175,"N",87500,"F",21,"S",35000,0.54901,"Y"
"176",176,"N",87500,"F",28,"P",15000,1.19006,"U"
"177",177,"N",87500,"F",37,"S",7500,-0.6617,"N"
"178",178,"N",87500,"F",58,"P",7500,1.4527,"Y"
"179",179,"N",87500,"M",37,"S",75000,1.40361,"Y"
"180",180,"N",87500,"M",18,"P",35000,-0.12713,"Y"
"181",181,"N",45000,"F",33,"S",35000,0.9475,"Y"
"182",182,"N",45000,"F",45,"P",15000,0.83473,"U"
"183",183,"N",45000,"F",34,"S",15000,1.43653,"Y"
"184",184,"N",45000,"M",25,"PS",35000,0.32764,"Y"
"186",186,"N",45000,"M",46,"P",35000,1.56214,"U"
"187",187,"N",45000,"F",63,"P",7500,-0.78362,"U"
"188",188,"N",45000,"F",53,"P",15000,0.9948,"Y"
"189",189,"N",45000,"M",32,"S",35000,-0.16227,"A"
"190",190,"N",45000,"F",31,"PS",35000,0.98196,"Y"
"191",191,"N",45000,"M",23,"P",15000,0.37411,"Y"
"192",192,"N",45000,"F",25,"P",15000,1.33395,"Y"
"193",193,"N",45000,"F",39,"PS",15000,-0.59827,"N"
"194",194,"N",45000,"F",25,"P",15000,0.43403,"Y"
"195",195,"N",45000,"M",48,"P",7500,1.62138,"Y"
"196",196,"N",45000,"M",65,"S",2500,1.39445,"A"
"197",197,"N",45000,"F",25,"P",15000,1.5877,"Y"
"198",198,"N",45000,"M",18,"S",15000,1.4156,"Y"
"200",200,"N",45000,"F",66,"P",2500,-1.29617,"N"
"201",201,"N",3750,"M",60,"P",75000,-0.38693,"N"
"202",202,"N",3750,"M",37,"PS",35000,-0.58756,"N"
"203",203,"N",3750,"F",61,"S",15000,1.44401,"U"
"204",204,"N",3750,"F",34,"S",35000,0.02178,"N"
"205",205,"N",3750,"M",28,"S",15000,-0.66899,"N"
"206",206,"N",3750,"M",59,"P",35000,1.19563,"Y"
"207",207,"N",3750,"M",21,"P",15000,-0.04558,"N"
"208",208,"N",3750,"F",27,"S",2500,0.65137,"Y"
"210",210,"N",3750,"M",24,"S",15000,-0.95939,"N"
"211",211,"N",3750,"M",59,"P",7500,1.41416,"Y"
"212",212,"N",3750,"F",48,"P",7500,1.21125,"Y"
"213",213,"N",3750,"F",26,"P",2500,1.50986,"Y"
"214",214,"N",3750,"M",64,"P",7500,0.98716,"Y"
"215",215,"N",3750,"M",20,"P",15000,1.05745,"Y"
"216",216,"N",3750,"M",25,"S",15000,0.34737,"Y"
"217",217,"N",3750,"F",49,"P",7500,0.15444,"Y"
"218",218,"N",3750,"M",70,"P",35000,-1.10356,"N"
"219",219,"N",3750,"F",22,"S",15000,1.05653,"Y"
"220",220,"N",3750,"M",18,"P",15000,0.0224,"Y"
"221",221,"N",125000,"F",58,"PS",35000,-0.82454,"U"
"222",222,"N",125000,"M",31,"S",35000,-0.91124,"Y"
"223",223,"N",125000,"F",48,"PS",35000,-0.82983,"Y"
"224",224,"N",125000,"M",64,"P",15000,1.33246,"U"
"225",225,"N",125000,"F",23,"S",15000,1.44853,"Y"
"226",226,"N",125000,"F",59,"P",7500,0.1502,"U"
"228",228,"N",125000,"F",37,"S",15000,-0.64763,"U"
"229",229,"N",125000,"F",28,"S",35000,-1.07837,"N"
"230",230,"N",125000,"F",51,"S",7500,-0.78943,"U"
"231",231,"N",125000,"F",27,"S",7500,0.29045,"Y"
"232",232,"N",125000,"M",38,"S",15000,-0.89647,"N"
"233",233,"N",125000,"M",34,"PS",35000,-1.29617,"N"
"234",234,"N",125000,"F",46,"P",2500,-1.29617,"N"
"235",235,"N",125000,"M",25,"S",7500,-0.92377,"N"
"236",236,"N",125000,"M",29,"S",75000,-0.6018,"Y"
"237",237,"N",125000,"F",26,"P",15000,1.3646,"A"
"238",238,"N",125000,"F",34,"P",7500,0.57019,"Y"
"239",239,"N",125000,"M",66,"P",7500,-0.18511,"Y"
"240",240,"N",125000,"F",44,"P",35000,1.51576,"Y"
"241",241,"N",125000,"M",38,"S",7500,0.07104,"A"
"242",242,"N",125000,"M",39,"S",7500,0.75719,"Y"
"243",243,"N",125000,"F",22,"S",15000,-1.07861,"N"
"244",244,"N",125000,"F",47,"P",15000,1.43653,"Y"
"245",245,"N",125000,"M",24,"S",35000,0.00883,"Y"
"246",246,"N",125000,"M",27,"S",35000,1.34829,"Y"
"247",247,"N",125000,"F",21,"S",75000,-1.15231,"N"
"248",248,"N",125000,"M",36,"PS",75000,1.01364,"Y"
"249",249,"N",125000,"F",62,"P",15000,0.23772,"Y"
"252",252,"N",125000,"F",70,"P",15000,1.25145,"Y"
"253",253,"N",125000,"F",49,"P",35000,0.61995,"U"
"254",254,"N",125000,"M",33,"S",35000,0.12409,"A"
"255",255,"N",125000,"F",35,"P",15000,-1.19054,"N"
"256",256,"N",125000,"F",29,"P",15000,1.23505,"Y"
"257",257,"N",125000,"F",38,"P",15000,1.24225,"Y"
"258",258,"N",125000,"M",21,"S",35000,-0.56293,"N"
"259",259,"N",125000,"F",59,"PS",35000,-1.18011,"N"
"260",260,"N",125000,"M",59,"P",15000,1.37738,"Y"
"261",261,"N",15000,"M",63,"P",7500,0.57069,"A"
"262",262,"N",15000,"F",27,"P",75000,-1.1401,"A"
"263",263,"N",15000,"M",24,"PS",35000,-0.89647,"N"
"264",264,"N",15000,"F",37,"P",15000,-0.33039,"U"
"265",265,"N",15000,"M",30,"S",35000,-0.95133,"A"
"266",266,"N",15000,"M",53,"P",15000,-1.03452,"U"
"267",267,"N",15000,"F",31,"S",15000,0.29023,"Y"
"268",268,"N",15000,"M",27,"P",15000,-0.20566,"N"
"269",269,"N",15000,"F",29,"P",35000,0.96777,"Y"
"270",270,"N",15000,"F",33,"P",15000,0.82724,"Y"
"271",271,"N",15000,"F",27,"P",15000,1.07644,"Y"
"272",272,"N",15000,"M",66,"P",15000,-0.53327,"U"
"273",273,"N",15000,"M",27,"P",7500,-1.29617,"U"
"274",274,"N",15000,"F",50,"P",35000,-0.82904,"U"
"275",275,"N",15000,"M",64,"P",7500,-1.19662,"N"
"276",276,"N",15000,"F",59,"P",7500,-0.0725,"N"
"277",277,"N",15000,"F",32,"S",15000,-0.87318,"Y"
"278",278,"N",15000,"M",26,"S",75000,1.55477,"Y"
"279",279,"N",15000,"M",20,"S",15000,-0.5265,"A"
"280",280,"N",15000,"M",39,"P",15000,1.3766,"Y"
"281",281,"N",87500,"F",29,"PS",15000,-1.23032,"N"
"282",282,"N",87500,"F",47,"P",35000,1.22543,"Y"
"283",283,"N",87500,"M",68,"P",15000,1.40952,"Y"
"284",284,"N",87500,"M",19,"P",7500,0.90496,"U"
"285",285,"N",87500,"F",35,"P",7500,-1.23032,"Y"
"286",286,"N",87500,"F",29,"P",7500,0.40561,"Y"
"287",287,"N",87500,"M",58,"P",15000,-1.29617,"N"
"288",288,"N",87500,"M",70,"P",15000,-0.13177,"Y"
"289",289,"N",87500,"F",36,"P",15000,-0.46162,"N"
"290",290,"N",87500,"M",30,"S",35000,-1.00254,"N"
"291",291,"N",87500,"M",31,"P",15000,-0.93686,"Y"
"292",292,"N",87500,"M",31,"P",7500,-0.89725,"N"
"293",293,"N",87500,"F",30,"P",7500,-1.11878,"U"
"294",294,"N",87500,"M",37,"S",15000,-1.29617,"N"
"295",295,"N",87500,"F",48,"P",7500,-1.23032,"U"
"297",297,"N",87500,"F",52,"P",15000,0.21063,"N"
"298",298,"N",87500,"M",70,"P",7500,0.07094,"A"
"299",299,"N",87500,"F",50,"P",15000,0.51411,"Y"
"300",300,"N",87500,"F",29,"P",15000,0.09532,"A"
"302",302,"N",25000,"F",37,"P",15000,1.17633,"U"
"303",303,"N",25000,"M",68,"P",15000,1.37208,"Y"
"304",304,"N",25000,"F",29,"P",35000,1.01672,"Y"
"305",305,"N",25000,"F",35,"P",2500,0.05559,"Y"
"306",306,"N",25000,"M",24,"S",7500,0.77841,"Y"
"307",307,"N",25000,"F",60,"S",35000,1.46136,"Y"
"308",308,"N",25000,"M",21,"S",35000,-1.00054,"N"
"309",309,"N",25000,"M",53,"PS",35000,-1.29617,"N"
"310",310,"N",25000,"F",35,"PS",35000,-0.81863,"U"
"311",311,"N",25000,"F",60,"P",7500,-0.69788,"A"
"313",313,"N",25000,"F",26,"S",7500,-1.03006,"N"
"314",314,"N",25000,"M",28,"S",15000,0.48311,"A"
"315",315,"N",25000,"M",43,"S",35000,-1.29617,"N"
"316",316,"N",25000,"M",35,"PS",200000,-0.95913,"A"
"317",317,"N",25000,"F",23,"P",15000,1.21184,"Y"
"318",318,"N",25000,"M",26,"S",15000,-1.1868,"N"
"319",319,"N",25000,"F",58,"P",35000,0.53257,"N"
"320",320,"N",25000,"F",70,"P",15000,1.33444,"Y"
"321",321,"C",25000,"F",44,"P",7500,-0.96154,"U"
"322",322,"C",25000,"M",32,"S",15000,-0.87595,"N"
"323",323,"C",25000,"F",32,"S",15000,0.73621,"Y"
"324",324,"C",25000,"F",60,"S",15000,-0.78119,"N"
"325",325,"C",25000,"M",45,"P",15000,1.08003,"U"
"326",326,"C",25000,"F",45,"P",15000,0.32158,"U"
"327",327,"C",25000,"M",21,"P",2500,1.03727,"Y"
"328",328,"C",25000,"M",32,"S",35000,-1.25795,"N"
"329",329,"C",25000,"M",44,"PS",35000,-1.29617,"N"
"330",330,"C",25000,"M",56,"S",75000,1.51576,"Y"
"331",331,"C",25000,"F",67,"P",15000,-0.52966,"Y"
"332",332,"C",25000,"F",27,"S",35000,1.19271,"Y"
"333",333,"C",25000,"F",29,"S",7500,-1.29617,"N"
"334",334,"C",25000,"M",51,"P",35000,-1.29617,"N"
"335",335,"C",25000,"M",26,"S",35000,-0.61861,"N"
"336",336,"C",25000,"F",56,"P",7500,-1.1209,"A"
"337",337,"C",25000,"F",36,"P",15000,-0.36391,"U"
"338",338,"C",25000,"M",58,"P",15000,-1.26325,"N"
"339",339,"C",25000,"M",35,"P",35000,0.08007,"U"
"340",340,"C",25000,"M",34,"P",35000,-1.29617,"N"
"341",341,"C",45000,"F",56,"P",7500,-1.25795,"N"
"342",342,"C",45000,"F",24,"P",7500,-1.29617,"N"
"343",343,"C",45000,"M",20,"S",35000,-1.29617,"N"
"344",344,"C",45000,"M",21,"S",35000,-1.19504,"N"
"345",345,"C",45000,"M",58,"S",35000,-1.14049,"N"
"346",346,"C",45000,"F",33,"S",75000,-0.30372,"N"
"347",347,"C",45000,"M",35,"S",75000,-1.21834,"N"
"348",348,"C",45000,"F",32,"P",15000,1.5877,"Y"
"349",349,"C",45000,"F",40,"PS",75000,-1.29617,"N"
"350",350,"C",45000,"M",36,"PS",200000,-0.21637,"N"
"351",351,"C",45000,"F",18,"S",35000,-0.31489,"U"
"352",352,"C",45000,"M",57,"PS",35000,1.43772,"Y"
"353",353,"C",45000,"M",44,"S",35000,-1.03566,"N"
"354",354,"C",45000,"F",51,"P",15000,1.15628,"Y"
"355",355,"C",45000,"M",26,"S",35000,-0.64455,"N"
"356",356,"C",45000,"M",34,"S",75000,0.66781,"Y"
"357",357,"C",45000,"F",47,"S",75000,-0.897,"N"
"359",359,"C",45000,"F",18,"S",75000,-0.92939,"N"
"360",360,"C",45000,"M",51,"PS",75000,-1.08055,"N"
"361",361,"C",62500,"F",26,"S",15000,0.66877,"Y"
"362",362,"C",62500,"M",29,"PS",75000,0.77374,"Y"
"363",363,"C",62500,"F",27,"P",15000,1.25914,"Y"
"364",364,"C",62500,"F",57,"S",2500,1.5877,"Y"
"365",365,"C",62500,"M",67,"P",7500,1.59802,"Y"
"366",366,"C",62500,"F",30,"S",35000,0.93454,"Y"
"367",367,"C",62500,"M",21,"S",15000,-1.06991,"N"
"368",368,"C",62500,"M",68,"P",15000,-1.29617,"N"
"370",370,"C",62500,"F",38,"S",15000,-1.00007,"N"
"371",371,"C",62500,"M",21,"S",75000,-0.6626,"A"
"372",372,"C",62500,"M",50,"S",75000,-1.14103,"N"
"373",373,"C",62500,"F",19,"S",15000,-1.14361,"N"
"374",374,"C",62500,"F",57,"S",15000,-1.29617,"N"
"375",375,"C",62500,"F",51,"S",15000,-1.15092,"N"
"376",376,"C",62500,"M",69,"P",15000,-1.29617,"N"
"377",377,"C",62500,"M",22,"PS",75000,-1.07977,"N"
"378",378,"C",62500,"F",32,"S",7500,-1.29617,"N"
"379",379,"C",62500,"F",68,"P",35000,-1.29617,"N"
"380",380,"C",62500,"M",22,"PS",35000,-1.29617,"N"
"381",381,"C",15000,"M",48,"P",15000,-0.75604,"N"
"382",382,"C",15000,"M",31,"P",7500,0.36202,"Y"
"383",383,"C",15000,"F",25,"S",15000,-0.86459,"N"
"384",384,"C",15000,"F",52,"P",7500,-0.72812,"U"
"385",385,"C",15000,"M",39,"P",35000,1.47024,"Y"
"387",387,"C",15000,"F",22,"P",15000,1.54808,"Y"
"388",388,"C",15000,"M",19,"S",35000,-0.98933,"N"
"389",389,"C",15000,"F",47,"P",7500,0.15506,"U"
"390",390,"C",15000,"M",18,"P",35000,-0.99498,"N"
"391",391,"C",15000,"F",33,"S",35000,0.45262,"U"
"392",392,"C",15000,"M",49,"P",15000,0.18113,"U"
"393",393,"C",15000,"F",40,"S",7500,-0.75505,"A"
"394",394,"C",15000,"M",28,"P",15000,-0.36182,"U"
"395",395,"C",15000,"F",37,"S",15000,0.42459,"Y"
"396",396,"C",15000,"F",38,"S",35000,0.59831,"U"
"397",397,"C",15000,"F",27,"P",15000,-1.12193,"U"
"398",398,"C",15000,"M",26,"P",35000,1.19153,"U"
"399",399,"C",15000,"M",21,"P",35000,-0.72868,"N"
"400",400,"C",15000,"M",54,"P",7500,-1.09392,"N"
"401",401,"C",15000,"M",27,"S",35000,0.6118,"U"
"403",403,"C",15000,"M",32,"S",35000,-1.18933,"N"
"404",404,"C",15000,"F",22,"S",7500,-0.89654,"A"
"405",405,"C",15000,"F",40,"S",35000,-0.29904,"A"
"406",406,"C",15000,"M",70,"PS",15000,1.29276,"Y"
"407",407,"C",15000,"M",42,"S",35000,1.10717,"Y"
"408",408,"C",15000,"M",20,"PS",125000,0.4198,"N"
"409",409,"C",15000,"F",23,"PS",125000,0.30914,"U"
"410",410,"C",15000,"F",64,"P",7500,1.25272,"Y"
"411",411,"C",15000,"M",21,"PS",35000,1.44401,"Y"
"412",412,"C",15000,"M",70,"P",7500,-0.9845,"U"
"413",413,"C",15000,"M",57,"P",2500,-0.64767,"N"
"414",414,"C",15000,"F",33,"S",7500,0.11608,"U"
"415",415,"C",15000,"F",57,"P",2500,1.44738,"Y"
"416",416,"C",15000,"M",38,"P",7500,-0.59124,"U"
"417",417,"C",15000,"M",30,"P",2500,1.13733,"U"
"418",418,"C",15000,"F",56,"P",7500,-1.29617,"N"
"419",419,"C",15000,"F",33,"P",15000,-0.27875,"U"
"420",420,"C",15000,"F",64,"P",2500,-1.09626,"U"
"421",421,"C",250000,"F",35,"S",200000,-1.11826,"N"
"422",422,"C",250000,"F",40,"S",75000,1.05576,"U"
"423",423,"C",250000,"M",66,"P",75000,1.46885,"Y"
"424",424,"C",250000,"M",22,"S",35000,1.06974,"A"
"426",426,"C",250000,"M",23,"S",35000,-1.25795,"N"
"427",427,"C",250000,"F",28,"S",35000,-1.29617,"N"
"428",428,"C",250000,"F",62,"P",15000,-1.29617,"N"
"429",429,"C",250000,"M",28,"P",2500,-1.29617,"N"
"430",430,"C",250000,"M",39,"P",15000,0.75644,"Y"
"431",431,"C",250000,"F",42,"S",35000,1.22853,"Y"
"432",432,"C",250000,"F",23,"S",7500,-1.29617,"N"
"433",433,"C",250000,"M",19,"S",35000,-1.1113,"N"
"434",434,"C",250000,"F",19,"S",15000,-0.18302,"U"
"435",435,"C",250000,"M",59,"S",15000,-1.29617,"N"
"436",436,"C",250000,"F",33,"S",35000,-0.21633,"N"
"437",437,"C",250000,"F",48,"S",7500,0.29811,"U"
"438",438,"C",250000,"M",44,"PS",35000,-1.18151,"N"
"439",439,"C",250000,"F",70,"S",35000,-1.03066,"U"
"440",440,"C",250000,"M",25,"S",35000,0.76551,"A"
"441",441,"C",250000,"F",57,"S",15000,0.26703,"Y"
"442",442,"C",250000,"F",23,"S",15000,-1.21132,"A"
"443",443,"C",250000,"M",47,"P",15000,-1.29617,"A"
"444",444,"C",250000,"M",23,"P",7500,0.11608,"A"
"445",445,"C",250000,"F",29,"P",7500,0.11608,"U"
"446",446,"C",250000,"M",30,"P",7500,-0.96845,"N"
"447",447,"C",250000,"F",38,"S",7500,0.29811,"U"
"448",448,"C",250000,"F",22,"P",2500,-0.93017,"N"
"449",449,"C",250000,"F",41,"S",2500,-1.27556,"U"
"450",450,"C",250000,"M",58,"P",35000,-0.91779,"A"
"452",452,"C",250000,"F",29,"S",15000,0.31346,"U"
"454",454,"C",250000,"M",28,"P",7500,-1.29617,"N"
"455",455,"C",250000,"M",44,"S",7500,1.37208,"Y"
"456",456,"C",250000,"M",30,"S",2500,-1.29617,"N"
"457",457,"C",250000,"F",34,"PS",15000,-1.29617,"N"
"458",458,"C",250000,"F",43,"P",35000,-0.56792,"Y"
"459",459,"C",250000,"M",70,"S",35000,-0.94371,"N"
